  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
        139,   1.39000000000000e+00,   2.43461161095960e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        140,   1.40000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        141,   1.41000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        142,   1.42000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        143,   1.43000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455780e+01
        144,   1.44000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        145,   1.45000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455780e+01
        146,   1.46000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        147,   1.47000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        148,   1.48000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        149,   1.49000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        150,   1.50000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        151,   1.51000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        152,   1.52000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        153,   1.53000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        154,   1.54000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        155,   1.55000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        156,   1.56000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        157,   1.57000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        158,   1.58000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        159,   1.59000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        160,   1.60000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        161,   1.61000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        162,   1.62000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
