  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
        138,   1.38000000000000e+00,   1.02219260171552e-01,   4.98541569253949e-03,    1.07204675864092e-01
        139,   1.39000000000000e+00,   1.01675954696969e-01,   5.52875162304531e-03,    1.07204706320015e-01
        140,   1.40000000000000e+00,   1.00922683208129e-01,   6.28204808648359e-03,    1.07204731294612e-01
        141,   1.41000000000000e+00,   9.99618221701371e-02,   7.24293039766855e-03,    1.07204752567806e-01
        142,   1.42000000000000e+00,   9.87957542994509e-02,   8.40901444924480e-03,    1.07204768748696e-01
        143,   1.43000000000000e+00,   9.74268563497581e-02,   9.77792384660379e-03,    1.07204780196362e-01
        144,   1.44000000000000e+00,   9.58576119719178e-02,   1.13471710385268e-02,    1.07204783010445e-01
        145,   1.45000000000000e+00,   9.40907112327998e-02,   1.31140616666239e-02,    1.07204772899424e-01
        146,   1.46000000000000e+00,   9.21291662981057e-02,   1.50755777378514e-02,    1.07204744035957e-01
        147,   1.47000000000000e+00,   8.99765620410961e-02,   1.72281287393424e-02,    1.07204690780439e-01
        148,   1.48000000000000e+00,   8.76373255042975e-02,   1.95672782840234e-02,    1.07204603788321e-01
        149,   1.49000000000000e+00,   8.51170516720517e-02,   2.20874252587617e-02,    1.07204476930813e-01
        150,   1.50000000000000e+00,   8.24229578534643e-02,   2.47813367429991e-02,    1.07204294596463e-01
        151,   1.51000000000000e+00,   7.95643170662459e-02,   2.76397209185475e-02,    1.07204037984793e-01
        152,   1.52000000000000e+00,   7.65528995740327e-02,   3.06507802721394e-02,    1.07203679846172e-01
        153,   1.53000000000000e+00,   7.34034613395638e-02,   3.37997409869085e-02,    1.07203202326472e-01
        154,   1.54000000000000e+00,   7.01341114146749e-02,   3.70684647541126e-02,    1.07202576168787e-01
        155,   1.55000000000000e+00,   6.67666194788515e-02,   4.04351551925607e-02,    1.07201774671412e-01
        156,   1.56000000000000e+00,   6.33267098340099e-02,   4.38740541877710e-02,    1.07200764021781e-01
        157,   1.57000000000000e+00,   5.98441445285153e-02,   4.73553623000012e-02,    1.07199506828516e-01
        158,   1.58000000000000e+00,   5.63526462463764e-02,   5.08453084527703e-02,    1.07197954699147e-01
        159,   1.59000000000000e+00,   5.28897149956010e-02,   5.43063697569829e-02,    1.07196084752584e-01
        160,   1.60000000000000e+00,   4.94962089502048e-02,   5.76976668221192e-02,    1.07193875772324e-01
        161,   1.61000000000000e+00,   4.62157713037765e-02,   6.09755671699186e-02,    1.07191338473695e-01
        162,   1.62000000000000e+00,   4.30940872842769e-02,   6.40944008311876e-02,    1.07188488115464e-01
