  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
         89,   8.90000000000001e-01,   6.57918240376214e-02,   4.26815520302819e-02,    1.08473376067903e-01
         90,   9.00000000000001e-01,   6.44823749901604e-02,   4.38897817709415e-02,    1.08372156761102e-01
         91,   9.10000000000001e-01,   6.31193041869824e-02,   4.51282051433917e-02,    1.08247509330374e-01
         92,   9.20000000000001e-01,   6.17201643266406e-02,   4.63856460379426e-02,    1.08105810364583e-01
         93,   9.30000000000001e-01,   6.03034846718577e-02,   4.76502056810145e-02,    1.07953690352872e-01
         94,   9.40000000000001e-01,   5.88887868334478e-02,   4.89092665757922e-02,    1.07798053409240e-01
         95,   9.50000000000001e-01,   5.74965098794046e-02,   5.01495367824482e-02,    1.07646046661853e-01
         96,   9.60000000000001e-01,   5.61478817035889e-02,   5.13570777348238e-02,    1.07504959438413e-01
         97,   9.70000000000001e-01,   5.48648388401922e-02,   5.25173072667561e-02,    1.07382146106948e-01
         98,   9.80000000000001e-01,   5.36699018797095e-02,   5.36151067358773e-02,    1.07285008615587e-01
         99,   9.90000000000001e-01,   5.25860050685414e-02,   5.46349351367826e-02,    1.07220940205324e-01
        100,   1.00000000000000e+00,   5.16362645030871e-02,   5.55610226159852e-02,    1.07197287119072e-01
        101,   1.01000000000000e+00,   5.08441974379202e-02,   5.63520723710762e-02,    1.07196269808996e-01
        102,   1.02000000000000e+00,   5.02335463810346e-02,   5.69618089921262e-02,    1.07195355373161e-01
        103,   1.03000000000000e+00,   4.98267840118773e-02,   5.73676584357812e-02,    1.07194442447658e-01
        104,   1.04000000000000e+00,   4.96437860823869e-02,   5.75498843361780e-02,    1.07193670418565e-01
        105,   1.05000000000000e+00,   4.97011681854143e-02,   5.74917807777775e-02,    1.07192948963192e-01
        106,   1.06000000000000e+00,   5.00117072377090e-02,   5.71806879410726e-02,    1.07192395178782e-01
        107,   1.07000000000000e+00,   5.05838176391925e-02,   5.66081672906835e-02,    1.07191984929876e-01
        108,   1.08000000000000e+00,   5.14212170767451e-02,   5.57705953231439e-02,    1.07191812399889e-01
        109,   1.09000000000000e+00,   5.25227260783639e-02,   5.46690822469486e-02,    1.07191808325312e-01
        110,   1.10000000000000e+00,   5.38820633735284e-02,   5.33099341012673e-02,    1.07191997474796e-01
        111,   1.11000000000000e+00,   5.54878561474327e-02,   5.17044752484933e-02,    1.07192331395926e-01
        112,   1.12000000000000e+00,   5.73239236498373e-02,   4.98689034260322e-02,    1.07192827075869e-01
        113,   1.13000000000000e+00,   5.93696969348110e-02,   4.78237680306901e-02,    1.07193464965501e-01
        114,   1.14000000000000e+00,   6.16008945536029e-02,   4.55933685680254e-02,    1.07194263121628e-01
        115,   1.15000000000000e+00,   6.39902953867856e-02,   4.32048459041139e-02,    1.07195141290900e-01
        116,   1.16000000000000e+00,   6.65083737527484e-02,   4.06876941073529e-02,    1.07196067860101e-01
        117,   1.17000000000000e+00,   6.91240074941876e-02,   3.80729872422281e-02,    1.07196994736416e-01
        118,   1.18000000000000e+00,   7.18052515642386e-02,   3.53926531618075e-02,    1.07197904726046e-01
        119,   1.19000000000000e+00,   7.45200293171442e-02,   3.26787619204115e-02,    1.07198791237556e-01
        120,   1.20000000000000e+00,   7.72368161364617e-02,   2.99628250567584e-02,    1.07199641193220e-01
        121,   1.21000000000000e+00,   7.99251880435978e-02,   2.72752357835585e-02,    1.07200423827156e-01
        122,   1.22000000000000e+00,   8.25561808151113e-02,   2.46449461502250e-02,    1.07201126965336e-01
        123,   1.23000000000000e+00,   8.51026712107488e-02,   2.20990766281028e-02,    1.07201747838852e-01
        124,   1.24000000000000e+00,   8.75397204792623e-02,   1.96625654992791e-02,    1.07202285978541e-01
        125,   1.25000000000000e+00,   8.98447904022516e-02,   1.73579593215670e-02,    1.07202749723819e-01
        126,   1.26000000000000e+00,   9.19979636426064e-02,   1.52051827349866e-02,    1.07203146377593e-01
        127,   1.27000000000000e+00,   9.39820755212179e-02,   1.32213979979279e-02,    1.07203473519146e-01
        128,   1.28000000000000e+00,   9.57826993443325e-02,   1.14210360120814e-02,    1.07203735356414e-01
        129,   1.29000000000000e+00,   9.73881313095910e-02,   9.81581389317499e-03,    1.07203945202766e-01
        130,   1.30000000000000e+00,   9.87892885732804e-02,   8.41482354227652e-03,    1.07204112115557e-01
        131,   1.31000000000000e+00,   9.99794861229166e-02,   7.22476356342208e-03,    1.07204249686339e-01
        132,   1.32000000000000e+00,   1.00954224337035e-01,   6.25013875148638e-03,    1.07204363088521e-01
        133,   1.33000000000000e+00,   1.01710879924904e-01,   5.49357360865288e-03,    1.07204453533557e-01
        134,   1.34000000000000e+00,   1.02248316026321e-01,   4.95620764797316e-03,    1.07204523674294e-01
        135,   1.35000000000000e+00,   1.02566602290072e-01,   4.63797605586388e-03,    1.07204578345936e-01
        136,   1.36000000000000e+00,   1.02666726413458e-01,   4.53789519520671e-03,    1.07204621608665e-01
        137,   1.37000000000000e+00,   1.02550280706009e-01,   4.65437910645160e-03,    1.07204659812461e-01
        138,   1.38000000000000e+00,   1.02219276963874e-01,   4.98541746122445e-03,    1.07204694425098e-01
        139,   1.39000000000000e+00,   1.01675971797314e-01,   5.52875308360059e-03,    1.07204724880915e-01
        140,   1.40000000000000e+00,   1.00922700593042e-01,   6.28204926255076e-03,    1.07204749855593e-01
        141,   1.41000000000000e+00,   9.99618398166232e-02,   7.24293131224921e-03,    1.07204771128872e-01
        142,   1.42000000000000e+00,   9.87957721835641e-02,   8.40901512602725e-03,    1.07204787309591e-01
        143,   1.43000000000000e+00,   9.74268744456766e-02,   9.77792431185912e-03,    1.07204798757536e-01
        144,   1.44000000000000e+00,   9.58576302510019e-02,   1.13471713204677e-02,    1.07204801571470e-01
        145,   1.45000000000000e+00,   9.40907296618272e-02,   1.31140617985983e-02,    1.07204791460425e-01
        146,   1.46000000000000e+00,   9.21291848387992e-02,   1.50755777585447e-02,    1.07204762597344e-01
        147,   1.47000000000000e+00,   8.99765806495130e-02,   1.72281286919264e-02,    1.07204709341439e-01
        148,   1.48000000000000e+00,   8.76373441291752e-02,   1.95672782206780e-02,    1.07204622349853e-01
        149,   1.49000000000000e+00,   8.51170702545624e-02,   2.20874252374771e-02,    1.07204495492040e-01
        150,   1.50000000000000e+00,   8.24229763270120e-02,   2.47813368312388e-02,    1.07204313158251e-01
        151,   1.51000000000000e+00,   7.95643353555900e-02,   2.76397211906529e-02,    1.07204056546243e-01
        152,   1.52000000000000e+00,   7.65529175951097e-02,   3.06507808128139e-02,    1.07203698407924e-01
        153,   1.53000000000000e+00,   7.34034790005404e-02,   3.37997418883078e-02,    1.07203220888848e-01
        154,   1.54000000000000e+00,   7.01341286172642e-02,   3.70684661138074e-02,    1.07202594731072e-01
        155,   1.55000000000000e+00,   6.67666361190285e-02,   4.04351571149205e-02,    1.07201793233949e-01
        156,   1.56000000000000e+00,   6.33267258042139e-02,   4.38740567806443e-02,    1.07200782584858e-01
        157,   1.57000000000000e+00,   5.98441597194028e-02,   4.73553656713983e-02,    1.07199525390801e-01
        158,   1.58000000000000e+00,   5.63526605487109e-02,   5.08453127135128e-02,    1.07197973262224e-01
        159,   1.59000000000000e+00,   5.28897283043280e-02,   5.43063750110053e-02,    1.07196103315333e-01
        160,   1.60000000000000e+00,   4.94962211677315e-02,   5.76976731668163e-02,    1.07193894334548e-01
        161,   1.61000000000000e+00,   4.62157823431286e-02,   6.09755746921243e-02,    1.07191357035253e-01
        162,   1.62000000000000e+00,   4.30940970749357e-02,   6.40944096025187e-02,    1.07188506677454e-01
        163,   1.63000000000000e+00,   4.01777811068948e-02,   6.70075982419117e-02,    1.07185379348806e-01
        164,   1.64000000000000e+00,   3.75129725581509e-02,   6.96690726367828e-02,    1.07182045194934e-01
        165,   1.65000000000000e+00,   3.51436824442788e-02,   7.20349715845106e-02,    1.07178654028789e-01
        166,   1.66000000000000e+00,   3.31098376479212e-02,   7.40655219796549e-02,    1.07175359627576e-01
        167,   1.67000000000000e+00,   3.14451923311221e-02,   7.57271825150678e-02,    1.07172374846190e-01
        168,   1.68000000000000e+00,   3.01752242853693e-02,   7.69946625209545e-02,    1.07169886806324e-01
        169,   1.69000000000000e+00,   2.93150233248513e-02,   7.78530160201390e-02,    1.07168039344990e-01
        170,   1.70000000000000e+00,   2.88675140230556e-02,   7.82994328044073e-02,    1.07166946827463e-01
        171,   1.71000000000000e+00,   2.88223830871093e-02,   7.83443330106524e-02,    1.07166716097762e-01
        172,   1.72000000000000e+00,   2.91559044565857e-02,   7.80114414142870e-02,    1.07167345870873e-01
        173,   1.73000000000000e+00,   2.98317955338202e-02,   7.73369609147894e-02,    1.07168756448610e-01
        174,   1.74000000000000e+00,   3.08029004316583e-02,   7.63678611812783e-02,    1.07170761612937e-01
        175,   1.75000000000000e+00,   3.20134613970102e-02,   7.51596620559211e-02,    1.07173123452931e-01
        176,   1.76000000000000e+00,   3.34020060161228e-02,   7.37736315272554e-02,    1.07175637543378e-01
        177,   1.77000000000000e+00,   3.49045869891054e-02,   7.22735807971813e-02,    1.07178167786287e-01
        178,   1.78000000000000e+00,   3.64579369124149e-02,   7.07226321518828e-02,    1.07180569064298e-01
        179,   1.79000000000000e+00,   3.80023308948125e-02,   6.91804220950926e-02,    1.07182752989905e-01
        180,   1.80000000000000e+00,   3.94839052671716e-02,   6.77007489395207e-02,    1.07184654206692e-01
        181,   1.81000000000000e+00,   4.08563537155528e-02,   6.63298816509330e-02,    1.07186235366486e-01
        182,   1.82000000000000e+00,   4.20821670658535e-02,   6.51053439347425e-02,    1.07187511000596e-01
        183,   1.83000000000000e+00,   4.31333761146794e-02,   6.40551494648375e-02,    1.07188525579517e-01
        184,   1.84000000000000e+00,   4.39918028233253e-02,   6.31975064796956e-02,    1.07189309303021e-01
        185,   1.85000000000000e+00,   4.46489509997683e-02,   6.25409510575907e-02,    1.07189902057359e-01
        186,   1.86000000000000e+00,   4.51054581401413e-02,   6.20848738717786e-02,    1.07190332011920e-01
        187,   1.87000000000000e+00,   4.53701630375025e-02,   6.18204681021566e-02,    1.07190631139659e-01
