# timestep time total_energy kinetic_energy internal_energy external_energy max_particle_penetration
       440 4.4000000000000034e-01 3.4802254567573158e+01 3.4425500236627883e+01 3.7675433094527272e-01 0.0000000000000000e+00 1.5668703834623571e-03
       450 4.5000000000000034e-01 3.4199463762287131e+01 3.3699178313318384e+01 5.0028544896874449e-01 0.0000000000000000e+00 1.5668703834623571e-03
       460 4.6000000000000035e-01 3.3529677002922206e+01 3.2874009615533438e+01 6.5566738738877006e-01 0.0000000000000000e+00 1.5668703834623571e-03
       470 4.7000000000000036e-01 3.2795746333594799e+01 3.1947832671045528e+01 8.4791366254927047e-01 0.0000000000000000e+00 1.5668703834623571e-03
       480 4.8000000000000037e-01 3.2002609304384983e+01 3.0920606911750770e+01 1.0820023926342133e+00 0.0000000000000000e+00 1.5668703834623571e-03
       490 4.9000000000000038e-01 3.1157345171086348e+01 2.9794629419360845e+01 1.3627157517255046e+00 0.0000000000000000e+00 1.5668703834623571e-03
       500 5.0000000000000033e-01 3.0269165795093642e+01 2.8574679406113539e+01 1.6944863889801030e+00 0.0000000000000000e+00 1.5668703834623571e-03
       510 5.1000000000000034e-01 2.9349340907599771e+01 2.7268079434896194e+01 2.0812614727035772e+00 0.0000000000000000e+00 1.5668703834623571e-03
       520 5.2000000000000035e-01 2.8411059670211756e+01 2.5884665882322139e+01 2.5263937878896172e+00 0.0000000000000000e+00 1.5668703834623571e-03
       530 5.3000000000000036e-01 2.7469232644375840e+01 2.4436665399911597e+01 3.0325672444642415e+00 0.0000000000000000e+00 1.5668703834623571e-03
       540 5.4000000000000037e-01 2.6540240295435602e+01 2.2938478893799736e+01 3.6017614016358674e+00 0.0000000000000000e+00 1.5668703834623571e-03
       550 5.5000000000000038e-01 2.5641635931190528e+01 2.1406379529639750e+01 4.2352564015507781e+00 0.0000000000000000e+00 1.5668703834623571e-03
       560 5.6000000000000039e-01 2.4791812446280211e+01 1.9858136150609525e+01 4.9336762956706846e+00 0.0000000000000000e+00 1.5668703834623571e-03
       570 5.7000000000000040e-01 2.4009643361078410e+01 1.8312577937365607e+01 5.6970654237128029e+00 0.0000000000000000e+00 1.5668703834623571e-03
       580 5.8000000000000040e-01 2.3314109369115247e+01 1.6789119820309192e+01 6.5249895488060554e+00 0.0000000000000000e+00 1.5668703834623571e-03
       590 5.9000000000000041e-01 2.2723921917388822e+01 1.5307270798687235e+01 7.4166511187015889e+00 0.0000000000000000e+00 1.5668703834623571e-03
       600 6.0000000000000042e-01 2.2257155232089485e+01 1.3886148713494489e+01 8.3710065185949958e+00 0.0000000000000000e+00 1.5668703834623571e-03
       610 6.1000000000000043e-01 2.1930897677038494e+01 1.2544025029102876e+01 9.3868726479356184e+00 0.0000000000000000e+00 1.5668703834623571e-03
       620 6.2000000000000044e-01 2.1760932417933049e+01 1.1297921762916186e+01 1.0463010655016861e+01 0.0000000000000000e+00 1.5668703834623571e-03
       630 6.3000000000000045e-01 2.1761456101292289e+01 1.0163279922725907e+01 1.1598176178566383e+01 0.0000000000000000e+00 1.5668703834623571e-03
       640 6.4000000000000046e-01 2.1944842694914378e+01 9.1537148236600849e+00 1.2791127871254295e+01 0.0000000000000000e+00 1.5668703834623571e-03
       650 6.5000000000000047e-01 2.2321457839817214e+01 8.2808687028332244e+00 1.4040589136983989e+01 0.0000000000000000e+00 1.5668703834623571e-03
       660 6.6000000000000048e-01 2.2899527103835648e+01 7.5543654418586179e+00 1.5345161661977031e+01 0.0000000000000000e+00 1.5668703834623571e-03
       670 6.7000000000000048e-01 2.3685059481918337e+01 6.9818663046177596e+00 1.6703193177300577e+01 0.0000000000000000e+00 1.5668703834623571e-03
