"c_1","current:0","current:1","current:2","flux_c_1:0","flux_c_1:1","flux_c_1:2","phi","Points:0","Points:1","Points:2"
11.502,0,0,0,0,0,0,-6.654e-08,-0.00054169,-0.00043844,0.00043844,1.0e-14
8.2823,-9.0549e-06,-3.7119e-06,1.4981e-06,-9.0549e-06,-3.7119e-06,1.4981e-06,-3.6727e-08,-0.00091474,-0.00037438,0.00015196,1.0e-14
8.247,-6.4468e-06,-2.942e-06,2.0898e-06,-6.4468e-06,-2.942e-06,2.0898e-06,-4.8086e-08,-0.00087673,-0.00034011,0.00034011,1.0e-14
11.035,0,0,0,0,0,0,-8.1818e-08,0.00017295,-0.00055428,0.00055428,1.0e-14
8.2062,2.3714e-06,-6.5273e-06,1.8961e-06,2.3714e-06,-6.5273e-06,1.8961e-06,-8.4172e-08,0.00032806,-0.00090665,0.00026527,1.0e-14
11.711,0,0,0,0,0,0,-8.6636e-08,0.00075426,0,0,1.0e-14
10.867,0,0,0,0,0,0,-7.5673e-08,1.7037e-05,0,0,1.0e-14
10.899,0,0,0,0,0,0,-7.8618e-08,0.00014004,-0.00014221,0.00014221,1.0e-14
10.884,0,0,0,0,0,0,-7.3848e-08,-8.4692e-05,-0.00015165,0.00015165,1.0e-14
10.909,0,0,0,0,0,0,-8.0383e-08,0.00026278,0,0,1.0e-14
10.729,0,0,0,0,0,0,-8.3856e-08,0.00050852,0,0,1.0e-14
8.2386,-4.8361e-06,-4.9303e-06,8.5455e-07,-4.8361e-06,-4.9303e-06,8.5455e-07,-6.4977e-08,-0.00070711,-0.00070711,0,1.0e-14
10.886,0,0,0,0,0,0,-6.8789e-08,-0.0002287,0,0,1.0e-14
10.855,0,0,0,0,0,0,-5.7528e-08,-0.00047444,0,0,1.0e-14
8.4391,0.00048756,0.00011118,-2.263e-05,-1.484e-05,-3.3842e-06,6.8882e-07,0,-0.00096593,-0.00025882,0,1.0e-14
11.649,0,0,0,0,0,0,-3.7334e-08,-0.00072019,0,0,1.0e-14
8.3762,0.00038646,7.519e-05,-4.7338e-05,-1.2648e-05,-2.4607e-06,1.5492e-06,0,-0.00096593,-0.00018301,0.00018301,1.0e-14
11.504,0.00015746,-0,-0,-1.951e-19,0,0,0,-0.00096593,0,0,1.0e-14
8.2006,7.1468e-06,-9.4089e-07,2.7772e-07,7.1468e-06,-9.4089e-07,2.7772e-07,-8.8781e-08,0.001,0,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0010275,-0.00050801,0.00050801,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010817,-0.00064132,0.00029332,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0009075,-0.00065802,0.0002309,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010799,-0.00049806,0.00031952,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011504,-0.0007017,0.00050682,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0011015,-0.00082681,0.00045166,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011958,-0.0007958,0.00024497,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.00087353,-0.00078954,0.00054255,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0022093,-0.00081594,0.00048763,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0021118,-0.00058053,0.00038174,1.0e-14
1.2,5.4846e-06,3.9916e-06,-2.824e-06,5.4846e-06,3.9916e-06,-2.824e-06,-0.099678,0.0022482,-0.00046623,0.00046623,1.0e-14
1.2,5.1355e-06,5.3356e-06,-2.496e-06,5.1355e-06,5.3356e-06,-2.496e-06,-0.099678,0.0023418,-0.00068161,0.0003197,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0018789,-0.00059407,0.00024017,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0019558,-0.00047797,0.00047797,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0019301,-0.00042729,0.00015466,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0021585,-0.00064616,0.00064616,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0019783,-0.00073246,0.00042728,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0018115,-0.00069952,0.00049634,1.0e-14
1.2,7.3385e-06,3.266e-06,-1.6311e-06,7.3385e-06,3.266e-06,-1.6311e-06,-0.099678,0.002113,-0.00032651,0.00032651,1.0e-14
1.2,7.0759e-06,4.8517e-06,-1.9608e-06,7.0759e-06,4.8517e-06,-1.9608e-06,-0.099678,0.0021981,-0.00055338,0.00022513,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0010328,-0.00047529,0.00018878,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011504,-0.00029698,0.00029698,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011428,-0.00042374,0.00014503,1.0e-14
1.2,1.1212e-05,-2.7499e-06,1.1235e-06,1.1212e-05,-2.7499e-06,1.1235e-06,-0.099677,0.00097134,-0.00016807,0.00016807,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0011052,-0.00069346,0,1.0e-14
1.2,7.9668e-06,-4.264e-06,1.1714e-06,7.9668e-06,-4.264e-06,1.1714e-06,-0.099676,0.00086603,-0.0005,0,1.0e-14
1.2,8.205e-06,-2.4598e-06,9.6947e-07,8.205e-06,-2.4598e-06,9.6947e-07,-0.099677,0.00096593,-0.00025882,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.001075,-0.00043414,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099676,0.0010235,-0.00083063,0.00020859,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0018074,-0.00073607,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0017482,-0.00096593,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0016767,-0.00067725,0.00013501,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0016007,-0.00078589,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0013081,-0.0004049,0.00020727,1.0e-14
1.2,7.3774e-06,-3.2833e-06,1.6398e-06,7.3774e-06,-3.2833e-06,1.6398e-06,-0.099676,0.00088701,-0.00032651,0.00032651,1.0e-14
1.2,6.9466e-06,-4.7631e-06,1.925e-06,6.9466e-06,-4.7631e-06,1.925e-06,-0.099676,0.00080193,-0.00055338,0.00022513,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0032606,-0.00096593,0.00047746,1.0e-14
1.1999,5.5124e-08,7.9861e-06,-4.4478e-06,5.5124e-08,7.9861e-06,-4.4478e-06,-0.099681,0.002994,-0.0008737,0.00048643,1.0e-14
1.1999,0,0,0,0,0,0,-0.099681,0.0031318,-0.00096593,0.00072593,1.0e-14
1.1999,-1.8817e-06,7.1058e-06,-4.0693e-06,-1.8817e-06,7.1058e-06,-4.0693e-06,-0.099682,0.0032283,-0.00084488,0.0004838,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0012205,-0.00061912,0.00037718,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0012627,-0.00043905,0.00043905,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0014935,-0.00077774,0.00018424,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0013292,-0.00056419,0.00021382,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015448,-0.00065326,0.00042726,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015343,-0.00050324,0.00024943,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015974,-0.00081715,0.00044351,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0016533,-0.00081898,0.00027411,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0017185,-0.00059472,0.00035429,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0013773,-0.00096593,0.00019993,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015,-0.00096593,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0016228,-0.00096593,0.00019814,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015725,-0.00052448,0,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0013831,-0.00073628,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00056659,0.00023989,1.0e-14
1.1999,-8.4516e-06,4.8319e-06,-7.4651e-07,-8.4516e-06,4.8319e-06,-7.4651e-07,-0.099683,0.003866,-0.0005,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00073022,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0038199,-0.0006971,0.00018074,1.0e-14
1.1999,-6.235e-06,4.204e-06,-1.7342e-06,-6.235e-06,4.204e-06,-1.7342e-06,-0.099683,0.0038115,-0.00054042,0.00022238,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00072043,0.0004555,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0037845,-0.00096593,0.00039647,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0038575,-0.00081875,0.00010257,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00081917,0.00023664,1.0e-14
1.1999,-5.2522e-06,5.5084e-06,-2.5948e-06,-5.2522e-06,5.5084e-06,-2.5948e-06,-0.099683,0.0036535,-0.00068443,0.0003233,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0036526,-0.00096593,0.00022319,1.0e-14
1.2001,0,0,0,0,0,0,-0.099673,-1.2224e-06,-0.00096593,0.00047561,1.0e-14
1.2001,-1.4763e-06,-9.7214e-06,3.1605e-06,-1.4763e-06,-9.7214e-06,3.1605e-06,-0.099672,-0.00012941,-0.00096593,0.00022414,1.0e-14
1.2001,0,0,0,0,0,0,-0.099672,-0.0002636,-0.00096593,0.00047241,1.0e-14
1.2001,-2.0589e-06,-7.7749e-06,4.4525e-06,-2.0589e-06,-7.7749e-06,4.4525e-06,-0.099672,-0.0002283,-0.00084488,0.0004838,1.0e-14
1.1999,-5.6157e-06,5.725e-06,-9.9229e-07,-5.6157e-06,5.725e-06,-9.9229e-07,-0.099683,0.0037071,-0.00070711,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00049452,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00096593,0.00024148,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0039659,-0.00096593,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0037302,-0.00096593,0,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0034876,-0.00080465,0.00057966,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0033919,-0.00096593,0.00072269,1.0e-14
1.1999,-2.5402e-06,5.5125e-06,-4.2815e-06,-2.5402e-06,5.5125e-06,-4.2815e-06,-0.099682,0.003342,-0.00066446,0.00066446,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0033632,-0.0008441,0.0008441,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0035412,-0.00079368,0.00079368,1.0e-14
1.1999,-4.3048e-06,5.1064e-06,-3.8193e-06,-4.3048e-06,5.1064e-06,-3.8193e-06,-0.099682,0.0035556,-0.00058794,0.00058794,1.0e-14
1.1999,0,0,0,0,0,0,-0.099683,0.0036825,-0.00079363,0.0005502,1.0e-14
1.1999,-4.341e-06,7.4575e-06,-4.1628e-06,-4.341e-06,7.4575e-06,-4.1628e-06,-0.099682,0.0034515,-0.0007793,0.00043456,1.0e-14
1.2001,0,0,0,0,0,0,-0.099674,0.00011179,-0.00096593,0.00072597,1.0e-14
1.2001,4.8024e-08,-6.9575e-06,3.8749e-06,4.8024e-08,-6.9575e-06,3.8749e-06,-0.099673,5.9533e-06,-0.0008737,0.00048643,1.0e-14
1.2001,0,0,0,0,0,0,-0.099675,0.00028609,-0.00096593,0.00048864,1.0e-14
1.1999,2.9504e-06,6.0519e-06,-4.6916e-06,2.9504e-06,6.0519e-06,-4.6916e-06,-0.099679,0.0026376,-0.00065903,0.00065903,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0025655,-0.00096593,0.00058867,1.0e-14
1.1999,0,0,0,0,0,0,-0.09968,0.0026705,-0.00096593,0.00077243,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0024889,-0.00083252,0.00062908,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0023368,-0.00096593,0.00058107,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0023867,-0.00070553,0.00070553,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0024673,-0.00096593,0.00039538,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0024453,-0.00096593,0.00077209,1.0e-14
1.2,0,0,0,0,0,0,-0.099679,0.0024749,-0.00082339,0.00082339,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.002236,-0.00081984,0.00081984,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00081875,-0.00083257,0.00040195,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00079681,-0.00058955,0.00058955,1.0e-14
1.2001,0,0,0,0,0,0,-0.099672,-0.00068087,-0.00079938,0.00050549,1.0e-14
1.2001,-5.731e-06,-6.0106e-06,2.8314e-06,-5.731e-06,-6.0106e-06,2.8314e-06,-0.099671,-0.00065347,-0.00068443,0.0003233,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.00082284,0.00062504,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.00081917,0.00023671,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.00072023,0.00045571,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.0005668,0.00024013,1.0e-14
1.2001,-6.441e-06,-4.3429e-06,1.7915e-06,-6.441e-06,-4.3429e-06,1.7915e-06,-0.099671,-0.00081148,-0.00054042,0.00022238,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.0007765,-0.00096593,0.00054685,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.00096593,0.00048296,1.0e-14
1.1999,0,0,0,0,0,0,-0.099682,0.0033904,-0.00096593,0.00023153,1.0e-14
1.1999,-4.2171e-06,7.0639e-06,-1.4966e-06,-4.2171e-06,7.0639e-06,-1.4966e-06,-0.099683,0.0035028,-0.00084657,0.0001748,1.0e-14
1.1999,-2.9934e-06,8.3808e-06,-2.4487e-06,-2.9934e-06,8.3808e-06,-2.4487e-06,-0.099682,0.0033226,-0.00090805,0.00026719,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00076001,-0.00096593,0.00032402,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00070523,-0.00083782,0.00016102,1.0e-14
1.2001,0,0,0,0,0,0,-0.099671,-0.00096593,-0.00096593,0.00024148,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0017407,-0.00082132,0.00061612,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0017373,-0.00096593,0.00077458,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0015165,-0.00082107,0.00063268,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0016201,-0.00096593,0.00058492,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.002196,-0.00082719,0.00027269,1.0e-14
1.2,4.6255e-06,7.6971e-06,-1.6137e-06,4.6255e-06,7.6971e-06,-1.6137e-06,-0.099678,0.0024944,-0.00084523,0.00017295,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.0023592,-0.00096593,0.00019634,1.0e-14
1.2,0,0,0,0,0,0,-0.099678,0.00199,-0.00081255,0.00081255,1.0e-14
1.2,0,0,0,0,0,0,-0.099677,0.0017419,-0.00081563,0.00081563,1.0e-14
