"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
0.25,0.8,0,1.5,2.9797e-15,-0.375,1.4155e-15,0,0,375,75,0,6.3347e-14,0,0,0.25,0.35,0,1.0e-9
0.2,0.8,0,1.5,-3.5378e-15,-0.375,2.1902e-16,0,0,375,75,0,1.1793e-14,0,0,0.2,0.35,0,1.0e-9
0.15,0.8,0,1.5,-1.7284e-15,-0.375,5.3838e-16,0,0,375,75,0,3.4069e-13,0,0,0.15,0.35,0,1.0e-9
0.1,0.8,0,1.5,-2.8821e-15,-0.375,-4.784e-16,0,0,375,75,0,-2.3879e-13,0,0,0.1,0.35,0,1.0e-9
0.05,0.8,0,1.5,4.3704e-15,-0.375,5.2725e-16,0,0,375,75,0,1.072e-13,0,0,0.05,0.35,0,1.0e-9
2.7756e-17,0.8,0,1.5,-9.4874e-16,-0.375,-1.0086e-15,0,0,375,75,0,4.2324e-14,0,0,2.7756e-17,0.35,0,1.0e-9
-0.05,0.8,0,1.5,1.247e-15,-0.375,-6.2094e-16,0,0,375,75,0,-7.7582e-14,0,0,-0.05,0.35,0,1.0e-9
-0.1,0.8,0,1.5,-4.5309e-15,-0.375,1.4599e-15,0,0,375,75,0,3.8202e-13,0,0,-0.1,0.35,0,1.0e-9
-0.15,0.8,0,1.5,-6.1611e-15,-0.375,-8.821e-16,0,0,375,75,0,-1.8021e-13,0,0,-0.15,0.35,0,1.0e-9
-0.2,0.8,0,1.5,-5.1615e-15,-0.375,9.4087e-16,0,0,375,75,0,1.9033e-13,0,0,-0.2,0.35,0,1.0e-9
-0.25,0.8,0,1.5,-5.0398e-16,-0.375,-1.6886e-15,0,0,375,75,0,-1.7317e-13,0,0,-0.25,0.35,0,1.0e-9
-0.3,0.8,0,1.5,-6.656e-16,-0.375,-3.4647e-15,0,0,375,75,0,-6.3559e-13,0,0,-0.3,0.35,0,1.0e-9
-0.35,0.8,0,1.5,1.983e-15,-0.375,-5.5159e-18,0,0,375,75,0,-1.1966e-13,0,0,-0.35,0.35,0,1.0e-9
-0.4,0.8,0,1.5,-6.8095e-15,-0.375,-9.5079e-16,0,0,375,75,0,-6.0955e-14,0,0,-0.4,0.35,0,1.0e-9
-0.45,0.8,0,1.5,3.4386e-15,-0.375,4.3137e-15,0,0,375,75,0,7.9856e-13,0,0,-0.45,0.35,0,1.0e-9
-0.5,0.8,0,1.5,1.4175e-15,-0.375,-9.186e-15,0,0,375,75,0,-1.6606e-12,0,0,-0.5,0.35,0,1.0e-9
0.45,0.8,0,1.5,-1.3174e-15,-0.375,-1.7882e-15,0,0,375,75,0,-2.7904e-13,0,0,0.45,0.3,0,1.0e-9
